,OMIMID,OMOPID
0,231200,4121133
1,231200,35125720
2,231200,437241
3,231200,4121133
4,155100,440508
5,155100,37016797
6,155100,312358
7,155100,4030517
8,155100,4121264
9,155100,437242
10,155100,441264
11,273800,4139942
12,273800,4139942
13,273800,35125719
14,273800,4139942
15,273800,437241
16,607554,4108832
17,171300,4118993
18,171300,4163908
19,171300,4118993
20,171300,35506734
21,171300,4311087
22,171300,4118993
23,171300,444463
24,171300,4130676
25,171300,192273
26,171300,4155167
27,102300,0
28,137580,379782
29,137580,35330407
30,137580,379782
31,137580,379782
32,137580,379782
33,137580,379782
34,137580,379782
35,137580,379782
36,137580,379782
37,137580,379782
38,147530,0
39,601042,37395940
40,601042,375800
41,608622,0
42,161900,4125967
43,161900,319826
44,161900,45766198
45,161900,193253
46,161900,4125967
47,143465,4049391
48,143465,438409
49,143465,438409
50,143465,4253962
51,143465,440086
52,143465,438409
53,143465,438409
54,143465,36978839
55,143465,438409
56,143465,438409
57,143465,438409
58,144110,4299805
59,144110,4299805
60,144110,4299805
61,261515,4029126
62,261515,435233
63,261515,442575
64,261515,4079883
65,276300,788469
66,276300,4266973
67,276300,4180790
68,276300,4266973
69,188030,318397
70,188030,35104689
71,188030,4137430
72,188030,4137430
73,188030,4137430
74,188030,4137430
75,148000,258981
76,148000,434584
77,148000,4118225
78,148000,434584
79,148000,36603431
80,148000,42530777
81,148000,140064
82,148000,140958
83,148000,375479
84,148000,434584
85,148000,434584
86,148000,312846
87,148000,4033358
88,148000,35104242
89,273300,45887447
90,273300,37017324
91,273300,37017324
92,273300,433716
93,273300,40482780
94,273300,36617741
95,273300,4177115
96,273300,36617724
97,273300,4181351
98,273300,36617722
99,273300,4129900
100,273300,36603395
101,273300,433716
102,273300,43054080
103,273300,4244815
104,273300,4092524
105,273300,4177115
106,273300,4092524
107,273300,37017324
108,273300,4114339
109,273300,36671423
110,273300,4300688
111,273300,79768
112,273300,4129900
113,236000,4263909
114,236000,4038835
115,236000,4031667
116,236000,4251036
117,236000,4038839
118,236000,35104405
119,236000,4038840
120,236000,4038839
121,236000,4041797
122,236000,4322613
123,236000,4038835
124,236000,4038835
125,236000,4041797
126,236000,4038839
127,236000,4038835
128,236000,4041797
129,236000,4038840
130,236000,4038835
131,236000,4038835
132,236000,4038839
133,236000,4038835
134,236000,4041797
135,236000,4038839
136,236000,4038835
137,236000,4041798
138,236000,4322613
139,236000,4038841
140,236000,4038840
141,236000,4038835
142,236000,4038839
143,236000,4038835
144,236000,4038835
145,236000,4038842
146,236000,4038843
147,236000,4038840
148,236000,4038835
149,236000,4038839
150,254400,4040380
151,254400,35104618
152,254400,4040380
153,254400,4040380
154,254400,4040380
155,254400,4040380
156,114480,4112853
157,114480,4112853
158,114480,36617162
159,114480,45884515
160,114480,4116071
161,114480,81251
162,114480,81250
163,114480,4110861
164,114480,4188544
165,114480,4155292
166,114480,4160780
167,114480,36617185
168,114480,81251
169,114480,4112853
170,114480,4187848
171,114480,4110861
172,114480,4092511
173,114480,4112853
174,114480,4187849
175,114480,4112853
176,114480,72576
177,114480,36670902
178,114480,4116071
179,114480,4112853
180,114480,81251
181,114480,133711
182,114480,4092513
183,114480,81251
184,607681,4274575
185,239350,0
186,190300,43531003
187,190300,443782
188,190300,43531003
189,190300,43531003
190,190300,36775462
191,190300,43531003
192,600131,4274575
193,607631,4046210
194,607631,4274575
195,604827,4274575
196,604827,374924
197,604827,4267274
198,604827,42890508
199,604827,4267274
200,608105,0
201,208700,0
202,607682,4274575
203,607682,4267274
204,607682,374924
205,607682,4267274
206,607682,42890508
207,300491,440508
208,217200,0
209,607628,4267274
210,607628,374924
211,607628,4267274
212,607628,42890508
213,607628,4274575
214,267740,0
215,276300,788469
216,276300,4266973
217,276300,4180790
218,276300,4266973
219,210050,0
220,208550,0
221,600807,317009
222,600807,36044977
223,600807,45877009
224,600807,317009
225,600807,317009
226,600807,45768910
227,600807,317009
228,600807,317009
229,600807,317009
230,151400,4082311
231,151400,138379
232,151400,4180093
233,151400,138379
234,151400,35104364
235,151400,4082311
236,151400,4082311
237,151400,4180093
238,151400,4119130
239,151400,35102408
240,151400,138379
241,151400,35124050
242,151400,4082311
243,276300,788469
244,276300,4266973
245,276300,4180790
246,276300,4266973
247,258360,0
248,109543,4180093
249,109543,138379
250,109543,35124050
251,109543,4082311
252,109543,4082311
253,109543,4119130
254,109543,35102408
255,109543,4082311
256,109543,4082311
257,109543,138379
258,109543,138379
259,109543,35104364
260,109543,4180093
